success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,plugin_version,time_elapsed,random_id,condition,participant,rt,response,stimulus,nameability,correct_category,correct,file_name
NA,NA,NA,NA,NA,categorize-image,50,2.1.0,80171,p0ant7uvweh,hard,badger,281,b,stimuli/experiment1a/low_B_101.png,low,B,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,51,2.1.0,80674,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,52,2.1.0,81176,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,categorize-image,53,2.1.0,83733,p0ant7uvweh,hard,badger,554,a,stimuli/experiment1a/low_A_000.png,low,A,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,54,2.1.0,84236,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,55,2.1.0,84737,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,categorize-image,56,2.1.0,87488,p0ant7uvweh,hard,badger,748,b,stimuli/experiment1a/low_B_111.png,low,B,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,57,2.1.0,87991,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,58,2.1.0,88493,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,categorize-image,59,2.1.0,91133,p0ant7uvweh,hard,badger,636,a,stimuli/experiment1a/low_A_000.png,low,A,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,60,2.1.0,91635,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,61,2.1.0,92136,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
